
Forward Euler Method: 
time:     V1:        V2:     
0.0000000790   0.3138120848   4.9982860109   
0.0000000792   0.3075358431   4.9983202907   
0.0000000794   0.3013851262   4.9983538849   
0.0000000796   0.2953574237   4.9983868072   
0.0000000798   0.2894502752   4.9984190710   
0.0000000800   0.2836612697   4.9984506896   
0.0000000802   0.2779880443   4.9984816758   
0.0000000804   0.2764282834   4.9985120423   
0.0000000806   0.2788997178   4.9985418014   
0.0000000808   0.2853217234   4.9985709654   
0.0000000810   0.2956152889   4.9985995461   
0.0000000812   0.3097029832   4.9986275551   
0.0000000814   0.3235089235   4.9986550040   
0.0000000816   0.3370387450   4.9986819039   
0.0000000818   0.3502979701   4.9987082658   
0.0000000820   0.3632920107   4.9987341005   
0.0000000822   0.3760261705   4.9987594185   
0.0000000824   0.3885056471   4.9987842300   
0.0000000826   0.4007355342   4.9988085454   
0.0000000828   0.4127208235   4.9988323744   
0.0000000830   0.4244664070   4.9988557267   
0.0000000832   0.4359770789   4.9988786120   
0.0000000834   0.4472575373   4.9989010395   
0.0000000836   0.4583123865   4.9989230184   
0.0000000838   0.4691461388   4.9989445576   
0.0000000840   0.4797632160   4.9989656658   
0.0000000842   0.4901679517   4.9989863516   
0.0000000844   0.5003645927   4.9990066235   
0.0000000846   0.5103573008   4.9990264896   
0.0000000848   0.5201501548   4.9990459579   
0.0000000850   0.5297471517   4.9990650363   
0.0000000852   0.5391522087   4.9990837324   
0.0000000854   0.5483691645   4.9991020537   
0.0000000856   0.5574017812   4.9991200074   
0.0000000858   0.5662537456   4.9991376006   
0.0000000860   0.5749286707   4.9991548401   
0.0000000862   0.5834300973   4.9991717326   
0.0000000864   0.5917614953   4.9991882846   
0.0000000866   0.5999262654   4.9992045021   
0.0000000868   0.6079277401   4.9992203912   
0.0000000870   0.6157691853   4.9992359574   
0.0000000872   0.6234538016   4.9992512063   
0.0000000874   0.6309847256   4.9992661429   
0.0000000876   0.6383650311   4.9992807719   
0.0000000878   0.6455977304   4.9992950978   
0.0000000880   0.6526857758   4.9993091247   
0.0000000882   0.6596320603   4.9993228561   
0.0000000884   0.6664394191   4.9993362952   
0.0000000886   0.6731106307   4.9993494449   
0.0000000888   0.6796484181   4.9993623072   
0.0000000890   0.6860554497   4.9993748839   
0.0000000892   0.6923343408   4.9993871759   
0.0000000894   0.6984876539   4.9993991836   
0.0000000896   0.7045179009   4.9994109068   
0.0000000898   0.7104275428   4.9994223443   
0.0000000900   0.7162189920   4.9994334943   
0.0000000902   0.7218946121   4.9994443540   
0.0000000904   0.7234567199   4.9994549199   
0.0000000906   0.7209875855   4.9994652511   
0.0000000908   0.7145678338   4.9994754121   
0.0000000910   0.7042764771   4.9994854537   
0.0000000912   0.6901909476   4.9994954025   
0.0000000914   0.6763871286   4.9995052595   
0.0000000916   0.6628593861   4.9995149920   
0.0000000918   0.6496021983   4.9995245790   
0.0000000920   0.6366101544   4.9995340082   
0.0000000922   0.6238779513   4.9995432721   
0.0000000924   0.6114003923   4.9995523669   
0.0000000926   0.5991723844   4.9995612911   
0.0000000928   0.5871889367   4.9995700448   
0.0000000930   0.5754451580   4.9995786291   
0.0000000932   0.5639362548   4.9995870457   
0.0000000934   0.5526575297   4.9995952968   
0.0000000936   0.5416043791   4.9996033850   
0.0000000938   0.5307722915   4.9996113129   
0.0000000940   0.5201568457   4.9996190834   
0.0000000942   0.5097537088   4.9996266993   
0.0000000944   0.4995586346   4.9996341635   
0.0000000946   0.4895674619   4.9996414788   
0.0000000948   0.4797761127   4.9996486481   
0.0000000950   0.4701805904   4.9996556744   
0.0000000952   0.4607769786   4.9996625602   
0.0000000954   0.4515614391   4.9996693085   
0.0000000956   0.4425302103   4.9996759220   
0.0000000958   0.4336796061   4.9996824032   
0.0000000960   0.4250060140   4.9996887549   
0.0000000962   0.4165058937   4.9996949796   
0.0000000964   0.4081757758   4.9997010799   
0.0000000966   0.4000122603   4.9997070582   
0.0000000968   0.3920120151   4.9997129169   
0.0000000970   0.3841717748   4.9997186585   
0.0000000972   0.3764883393   4.9997242853   
0.0000000974   0.3689585725   4.9997297995   
0.0000000976   0.3615794010   4.9997352035   
0.0000000978   0.3543478130   4.9997404994   
0.0000000980   0.3472608568   4.9997456894   
0.0000000982   0.3403156396   4.9997507755   
0.0000000984   0.3335093268   4.9997557600   
0.0000000986   0.3268391403   4.9997606448   
0.0000000988   0.3203023575   4.9997654319   
0.0000000990   0.3138963103   4.9997701232   
0.0000000992   0.3076183841   4.9997747208   
0.0000000994   0.3014660165   4.9997792263   
0.0000000996   0.2954366961   4.9997836418   
0.0000000998   0.2895279622   4.9997879690   

